#1:snapshot #2:rc #3:rh #4:rc/rh [all units parsec]
n2e5_w5_r2_Rg8_z0.001.out.snap0170.dat.gz 3.53 6.42 0.55
n2e5_w5_r2_Rg8_z0.001.out.snap0171.dat.gz 3.52 6.5 0.54
n2e5_w5_r2_Rg8_z0.001.out.snap0172.dat.gz 3.49 6.5 0.54
n2e5_w5_r2_Rg8_z0.001.out.snap0173.dat.gz 3.63 6.5 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0174.dat.gz 3.73 6.59 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0175.dat.gz 3.69 6.53 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0176.dat.gz 3.73 6.59 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0177.dat.gz 3.67 6.64 0.55
n2e5_w5_r2_Rg8_z0.001.out.snap0178.dat.gz 3.52 6.55 0.54
n2e5_w5_r2_Rg8_z0.001.out.snap0179.dat.gz 3.66 6.59 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0180.dat.gz 3.68 6.58 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0181.dat.gz 3.21 6.45 0.5
n2e5_w5_r2_Rg8_z0.001.out.snap0182.dat.gz 3.69 6.58 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0183.dat.gz -3.83 6.58 -0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0184.dat.gz 3.7 6.66 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0185.dat.gz 3.53 6.65 0.53
n2e5_w5_r2_Rg8_z0.001.out.snap0186.dat.gz 3.75 6.58 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0187.dat.gz 3.49 6.58 0.53
n2e5_w5_r2_Rg8_z0.001.out.snap0188.dat.gz 3.35 6.54 0.51
