#snapno time[Myr] time[FP] #1:snapshot #2:rc #3:rh #4:rc/rh
0173 10278.7415972 3.414524 n2e5_w5_r2_Rg8_z0.001.out.snap0173.dat.gz 3.63 6.5 0.56
0174 10482.1048219 3.4820798 n2e5_w5_r2_Rg8_z0.001.out.snap0174.dat.gz 3.73 6.59 0.57
0175 10536.1782388 3.5000426 n2e5_w5_r2_Rg8_z0.001.out.snap0175.dat.gz 3.69 6.53 0.56
0176 10700.7895706 3.5547253 n2e5_w5_r2_Rg8_z0.001.out.snap0176.dat.gz 3.73 6.59 0.57
0177 10850.3599384 3.6044115 n2e5_w5_r2_Rg8_z0.001.out.snap0177.dat.gz 3.67 6.64 0.55
0178 10938.7254888 3.6337659 n2e5_w5_r2_Rg8_z0.001.out.snap0178.dat.gz 3.52 6.55 0.54
0179 11042.232246 3.6681501 n2e5_w5_r2_Rg8_z0.001.out.snap0179.dat.gz 3.66 6.59 0.56
0180 11131.6501972 3.6978541 n2e5_w5_r2_Rg8_z0.001.out.snap0180.dat.gz 3.68 6.58 0.56
0181 11251.7810352 3.7377607 n2e5_w5_r2_Rg8_z0.001.out.snap0181.dat.gz 3.21 6.45 0.5
0182 11288.6993544 3.7500247 n2e5_w5_r2_Rg8_z0.001.out.snap0182.dat.gz 3.69 6.58 0.56
0183 11366.5649783 3.7758911 n2e5_w5_r2_Rg8_z0.001.out.snap0183.dat.gz -3.83 6.58 -0.58
0184 11559.46139 3.8399699 n2e5_w5_r2_Rg8_z0.001.out.snap0184.dat.gz 3.7 6.66 0.56
0185 11691.8992374 3.8839648 n2e5_w5_r2_Rg8_z0.001.out.snap0185.dat.gz 3.53 6.65 0.53
0186 11820.1064093 3.9265543 n2e5_w5_r2_Rg8_z0.001.out.snap0186.dat.gz 3.75 6.58 0.57
0187 11960.7732128 3.9732828 n2e5_w5_r2_Rg8_z0.001.out.snap0187.dat.gz 3.49 6.58 0.53
0188 12000.0362547 3.9863257 n2e5_w5_r2_Rg8_z0.001.out.snap0188.dat.gz 3.35 6.54 0.51
